Reactant_B,Reactant_C,SMILES of the product,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
Cc1ccc2C=NNc2c1B1OC(C)(C)C(C)(C)O1,CCCNS(Nc1c(-c2ccc(Br)cc2)c(OCCO)ncn1)(=O)=O,CCCNS(=O)(=O)Nc1ncnc(OCCO)c1-c1ccc(-c2c(C)ccc3cn[nH]c23)cc1,0,0
COc1c(B(O)O)c(C2CC2)ncn1,CCCNS(Nc1c(-c2ccc(Br)cc2)c(OCCO)ncn1)(=O)=O,CCCNS(=O)(=O)Nc1ncnc(OCCO)c1-c1ccc(-c2c(OC)ncnc2C2CC2)cc1,42.1,9.6
COc1ncc(B2OC(C)(C)C(C)(C)O2)cc1,CCCNS(Nc1c(-c2ccc(Br)cc2)c(OCCO)ncn1)(=O)=O,CCCNS(=O)(=O)Nc1ncnc(OCCO)c1-c1ccc(-c2ccc(OC)nc2)cc1,100,100
O=Cc1cc(B(O)O)ccc1,CCCNS(Nc1c(-c2ccc(Br)cc2)c(OCCO)ncn1)(=O)=O,CCCNS(=O)(=O)Nc1ncnc(OCCO)c1-c1ccc(-c2cccc(C=O)c2)cc1,100,100
O=Cc1ccc(B2OCCCO2)cc1,CCCNS(Nc1c(-c2ccc(Br)cc2)c(OCCO)ncn1)(=O)=O,CCCNS(=O)(=O)Nc1ncnc(OCCO)c1-c1ccc(-c2ccc(C=O)cc2)cc1,100,100
Cc1c(C(N2CCCC2)=O)ccc(B2OC(C)(C)C(C)(C)O2)c1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1cc(-c2c(C)c(C)c(N)c(C)c2C)ccc1C(=O)N1CCCC1,100,100
OB(c1ccc(-c2oc3c(cccc3)n2)cc1)O,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2ccc(-c3nc4ccccc4o3)cc2)c(C)c(C)c1N,97.2,24.5
OB(c1c2Oc3c(Sc2ccc1)cccc3)O,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cccc3c2Oc2ccccc2S3)c(C)c(C)c1N,7.8,1.5
Cc1[n](C(C)C)c2c(c(cc(c2)B2OC(C)(C)C(C)(C)O2)F)n1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cc(F)c3nc(C)n(C(C)C)c3c2)c(C)c(C)c1N,0,0
OB(c1c2sc3c(c2ccc1)cccc3)O,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cccc3c2sc2ccccc23)c(C)c(C)c1N,0,0
C=C(C(F)(F)F)B1OC(C)(C)CC(C)O1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,C=C(c1c(C)c(C)c(N)c(C)c1C)C(F)(F)F,50.7,9.5
OB(c1c[n](-c2ccccc2)nc1)O,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cnn(-c3ccccc3)c2)c(C)c(C)c1N,80.4,10.7
CC1(C(C)(C)OB(c2cc(C#N)c(OC3CCOCC3)cc2)O1)C,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2ccc(OC3CCOCC3)c(C#N)c2)c(C)c(C)c1N,92.9,19.7
OCc1c(B(O)O)cc(F)cc1,C1(N)=C(C)C(C)=C(Br)C(C)=C1C,Cc1c(C)c(-c2cc(F)ccc2CO)c(C)c(C)c1N,0,0
